source_root,model,stage,step,seed,normalized_degradation_auc_margin,normalized_degradation_auc_accuracy,final_normalized_poison_retention_margin,final_normalized_poison_retention_accuracy
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step0,0,0,-0.1906240091378253,0.7887649537718263,-1.4826738373929624,0.4594594594594595
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step0,0,1,0.3404506899893109,0.8256957038247853,-0.5712369443435837,0.49152542372881364
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step0,0,2,0.5522476905460276,0.8295320479235809,0.0764642095239994,0.6333333333333334
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step0,0,3,0.21213381638928117,0.78778040107322,-1.0389638427631132,0.4897959183673469
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step0,0,4,0.09282390675404516,0.7252656621852283,-1.5526666700615777,0.3035714285714285
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step1000,1000,0,0.942196196761155,0.9557127148677169,0.809803636699237,0.4772727272727273
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step1000,1000,1,0.9140369614915755,0.9289401094950727,0.68715546513357,0.9166666666666666
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step1000,1000,2,0.9259023286822792,0.8255722779717688,0.6924741256834241,0.5094339622641509
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step1000,1000,3,0.9272031652830197,0.8441200356456283,0.7312711345143644,0.5263157894736842
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step1000,1000,4,0.9654824755538022,0.9158820569974243,0.7547002422207469,0.5882352941176471
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step128,128,0,0.6984987530052355,0.7173446494338115,0.45566403986359966,0.4067796610169492
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step128,128,1,0.8370595966085924,0.8334531870057602,0.5438844345788422,0.5932203389830508
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step128,128,2,0.8139618160770627,0.8865101384878433,0.5224550004782625,0.7391304347826086
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step128,128,3,0.7383713191640069,0.6774372158452053,0.5388823542577322,0.5249999999999999
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step128,128,4,0.7315706141770871,0.7872805117508549,0.3149750285478463,0.4776119402985075
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step143000,143000,0,0.5156782517941026,0.7177582936452472,0.11824591254893696,0.21621621621621626
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step143000,143000,1,0.5720306146430713,0.698831736690843,0.18690716371683194,0.2671755725190839
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step143000,143000,2,0.57430964544434,0.6678453448376841,0.157797449643898,0.12903225806451615
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step143000,143000,3,0.5830493791600194,0.6973492464418855,0.18330835109095495,0.2740740740740741
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step143000,143000,4,0.528999954674081,0.7215482952200141,0.10251704624959117,0.2236842105263158
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step2000,2000,0,0.8531744698999323,0.7142607122495176,0.6535344006383763,0.2199999999999999
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step2000,2000,1,0.8794419106319293,0.7696381225296891,0.6333295276623984,0.5555555555555556
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step2000,2000,2,0.8878876227273573,0.8945780608905299,0.6491759530119741,0.5964912280701755
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step2000,2000,3,0.841315791605388,0.7782443214952639,0.5950677085961489,0.4473684210526316
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step2000,2000,4,0.8635300580687939,0.829781599845859,0.6155392602738705,0.5342465753424657
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step3000,3000,0,0.838154521174688,0.7807679805651007,0.6027243542604527,0.30188679245283
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step3000,3000,1,0.8242677793912825,0.7451826543492822,0.5097600480564337,0.2586206896551725
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step3000,3000,2,0.8493425040671801,0.8238902663572557,0.5291241203712874,0.39622641509433953
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step3000,3000,3,0.8118948127509901,0.7670867739253109,0.4999781253708779,0.32432432432432434
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step3000,3000,4,0.834938564713923,0.7634814518242744,0.5601462565194987,0.393939393939394
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step512,512,0,0.877366584348811,0.777331601339712,0.6813148189118522,0.43023255813953487
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step512,512,1,0.8760073098089276,0.9175271574665559,0.7304782422317458,0.736111111111111
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step512,512,2,0.8642106149331454,0.8336426181171329,0.6165907150200493,0.5483870967741935
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step512,512,3,0.8930032568685807,0.844113259621339,0.7626347717853939,0.6710526315789475
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step512,512,4,0.9106316797506302,0.8615879225510071,0.6356287399692256,0.45161290322580633
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step8000,8000,0,0.7875157041069344,0.7714167214825794,0.4338720629007349,0.3333333333333333
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step8000,8000,1,0.8199535941845171,0.8171574657489064,0.4741022523036905,0.3894736842105263
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step8000,8000,2,0.781492972338515,0.7916786982697628,0.4496983608838081,0.40404040404040403
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step8000,8000,3,0.7951931849811933,0.8064312728307519,0.45800262730544067,0.3979591836734694
results/e3_critical_period_intervention_final_v4,EleutherAI/pythia-160m-deduped,step8000,8000,4,0.8249650732087723,0.8581913701775786,0.42436718958591685,0.37755102040816324
